asset_type,asset_name,source_bundle,output_path,path_id,width,height
Texture2D,AidKits_Case,itemsgroup_assets_casesaidkits_case_b6d84e4ad987d4f409fee480264d4a21.bundle,exported_icons\Texture2D\AidKits_Case.png,718350886378711212,512,512
Texture2D,Ammo Case,itemsgroup_assets_casesammo_case_234384849e2971b77a8fdd9f7504365f.bundle,exported_icons\Texture2D\Ammo Case.png,6284244954577337580,512,512
Texture2D,CashBox_01,itemsgroup_assets_casescashbox_f6cd808447c641fcd7fa4a27d346315a.bundle,exported_icons\Texture2D\CashBox_01.png,-7966115589186376464,512,512
Texture2D,CosmeticsCase_01,itemsgroup_assets_casescosmeticscase_01_66e30f722563cc9fc45a2913669b3d0b.bundle,exported_icons\Texture2D\CosmeticsCase_01.png,4147508630904666781,512,512
Texture2D,GunCase,itemsgroup_assets_casesguncase_f42fe2892f8fd6e1d2eb35cce88b28bd.bundle,exported_icons\Texture2D\GunCase.png,3666393640720589008,512,512
Texture2D,Junk_Container_02,itemsgroup_assets_casesjunkcontainer_02_7bd1bb551a3f8af9f5db1b33238443bf.bundle,exported_icons\Texture2D\Junk_Container_02.png,5738896602140990127,512,512
Texture2D,Junk_Container,itemsgroup_assets_casesjunkcontainer_471aa433a9fa9a0934e7a3b82b062f79.bundle,exported_icons\Texture2D\Junk_Container.png,7642525194977031361,512,512
Texture2D,KeyHolder_01,itemsgroup_assets_caseskeyholder_670df38dd5db5b5a0d50315ff6f4c4f8.bundle,exported_icons\Texture2D\KeyHolder_01.png,-7856600878041032068,256,256
Texture2D,Card_Key_01,itemsgroup_assets_keyscard_key_d061804e85e8e3444595167656e4c61d.bundle,exported_icons\Texture2D\Card_Key_01.png,7330545568077466538,128,128
Texture2D,Disk_Key,itemsgroup_assets_keysdisk_key_298c682726f2679eda9789bd3c4e7d84.bundle,exported_icons\Texture2D\Disk_Key.png,317590536658696591,256,256
Texture2D,English_Key,itemsgroup_assets_keysenglish_key_9671127338e71c3b4b9ccf664702b219.bundle,exported_icons\Texture2D\English_Key.png,5022632569741941380,256,256
Texture2D,FingerPin_Key,itemsgroup_assets_keysfingerpin_key_1551adf749d38f617e1ea718449cc964.bundle,exported_icons\Texture2D\FingerPin_Key.png,-5472599777080392301,256,256
Texture2D,Leverlock_Key,itemsgroup_assets_keysleverlock_key_ba19bf148c7e35fe5c838b2569a1d3c9.bundle,exported_icons\Texture2D\Leverlock_Key.png,-254583677589678408,256,256
Texture2D,Lockpick_01,itemsgroup_assets_keyslockpick_01_b4efd56ec68816313aabcfaa6544c23a.bundle,exported_icons\Texture2D\Lockpick_01.png,7118870000841755195,512,512
Texture2D,Perforated_Key_2,itemsgroup_assets_keysperforated_key_2_bc759f6efe7dd768776fa065986da200.bundle,exported_icons\Texture2D\Perforated_Key_2.png,2494424893263222734,256,256
Texture2D,Perforated_Key,itemsgroup_assets_keysperforated_key_302b5ca046731f33a707ea86bdb44390.bundle,exported_icons\Texture2D\Perforated_Key.png,768443178824721466,256,256
Texture2D,QuestKey_01,itemsgroup_assets_keysquestphantomkeys_0471f2b34ca43b28c0a4c163b222e3d8.bundle,exported_icons\Texture2D\QuestKey_01.png,8097135998899836786,256,256
Texture2D,PreviewBox_Default,itemsgroup_assets_loot_22713d68b1c059f345d3ec88fca27c93.bundle,exported_icons\Texture2D\PreviewBox_Default.png,3168328699559176698,256,256
Texture2D,PreviewBox_Ammo,itemsgroup_assets_loot_22713d68b1c059f345d3ec88fca27c93.bundle,exported_icons\Texture2D\PreviewBox_Ammo.png,3772987184486568815,256,256
Texture2D,Air_Hummer,itemsgroup_assets_lootair_hummer_112503c060cb0ba0df9ffae702fd2642.bundle,exported_icons\Texture2D\Air_Hummer.png,9178705308268550397,256,256
Texture2D,ArmorPlate_J,itemsgroup_assets_lootalloysteel_c66e049c4d404ecac653aff31cb97dcb.bundle,exported_icons\Texture2D\ArmorPlate_J.png,-3623592692851096479,256,256
Texture2D,Saltpeter,itemsgroup_assets_lootanfo_22868a19b36310d7246e2a425a6fdd64.bundle,exported_icons\Texture2D\Saltpeter.png,-6871546662455954075,256,256
Texture2D,Fibermesh,itemsgroup_assets_lootanfo_22868a19b36310d7246e2a425a6fdd64.bundle,exported_icons\Texture2D\Fibermesh.png,-4894494572164308727,256,256
Texture2D,Portland,itemsgroup_assets_lootanfo_22868a19b36310d7246e2a425a6fdd64.bundle,exported_icons\Texture2D\Portland.png,1612687554887880187,256,256
Texture2D,ANFO,itemsgroup_assets_lootanfo_22868a19b36310d7246e2a425a6fdd64.bundle,exported_icons\Texture2D\ANFO.png,2329943313188224881,256,256
Texture2D,AlcaliSalt,itemsgroup_assets_lootanfo_22868a19b36310d7246e2a425a6fdd64.bundle,exported_icons\Texture2D\AlcaliSalt.png,2472682848952134869,256,256
Texture2D,Geopolymer,itemsgroup_assets_lootanfo_22868a19b36310d7246e2a425a6fdd64.bundle,exported_icons\Texture2D\Geopolymer.png,3578017410854657958,256,256
Texture2D,Sorel,itemsgroup_assets_lootanfo_22868a19b36310d7246e2a425a6fdd64.bundle,exported_icons\Texture2D\Sorel.png,4815145754646550298,256,256
Texture2D,Cement,itemsgroup_assets_lootanfo_22868a19b36310d7246e2a425a6fdd64.bundle,exported_icons\Texture2D\Cement.png,6070068970493973470,256,256
Texture2D,AngleGrinder_Disk_1,itemsgroup_assets_lootanglegrinder_disk_bacced4bbd963226b7e07d0a8d2a3f46.bundle,exported_icons\Texture2D\AngleGrinder_Disk_1.png,-8527303766744608601,256,256
Texture2D,Hydraulic Fluid,itemsgroup_assets_lootanticor_978a4578a66ba2fbd18a104ba595bfd8.bundle,exported_icons\Texture2D\Hydraulic Fluid.png,-2896783398939779676,512,512
Texture2D,Anticor,itemsgroup_assets_lootanticor_978a4578a66ba2fbd18a104ba595bfd8.bundle,exported_icons\Texture2D\Anticor.png,1090264087681187899,512,512
Texture2D,ArmorPlate_A,itemsgroup_assets_lootarmorplate_6c6725c10210c428a0c2603770dda462.bundle,exported_icons\Texture2D\ArmorPlate_A.png,-6140873666873656448,256,256
Texture2D,ArmorPlate_B,itemsgroup_assets_lootarmorplate_6c6725c10210c428a0c2603770dda462.bundle,exported_icons\Texture2D\ArmorPlate_B.png,962015989124641279,256,256
Texture2D,ArmorPlate_C,itemsgroup_assets_lootarmorplate_6c6725c10210c428a0c2603770dda462.bundle,exported_icons\Texture2D\ArmorPlate_C.png,8219385956794403885,256,256
Texture2D,Auido_Cassette_04,itemsgroup_assets_lootaudio_cassette_f93581e82b8ed937eda0046a8763308b.bundle,exported_icons\Texture2D\Auido_Cassette_04.png,-7984848245885074763,256,256
